,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
52,"T map 택시 - 티맵택시,T맵택시",지도/내비게이션,"네이버 지도, 내비게이션",여행 및 지역정보,ISP/페이북,금융,멜론,음악/오디오,마켓컬리-내일의 장보기,식음료,"네이버 지도, 내비게이션",여행 및 지역정보,FaceApp,사진,Fish Crazy Master,Games,Zenly 젠리 - 친한 친구끼리,소셜,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,NH스마트뱅킹,금융
53,Party.io,Action,고 슬라이스,퍼즐,0한동,라이프스타일,Puffin Web Browser,커뮤니케이션,Puffin Web Browser,커뮤니케이션,로한M,롤플레잉,지도,여행 및 지역정보,Candy Splash - Blast Sugar,Family,쿵야 캐치마인드,퀴즈,지니 뮤직 - genie,음악/오디오,스타벅스,엔터테인먼트,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보
54,마켓컬리-내일의 장보기,식음료,네이버 클라우드 - NAVER Cloud,생산성,Cube Escape: The Lake KR,Adventure,트리플 - 해외여행 가이드,여행 및 지역정보,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,라플라스M,롤플레잉,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,ISP/페이북,금융,모바일 관세청,비즈니스,트리플 - 해외여행 가이드,여행 및 지역정보,배틀그라운드,액션
55,추억의 식당 이야기 심금을 울리는 추억 시리즈,시뮬레이션,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성,"미세미세 - 미세먼지, WHO기준, 알람, 위젯, 날씨, 지도",날씨,SSG.COM,쇼핑,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,바이러스 워 - 우주 슈팅 게임,아케이드,CGV,엔터테인먼트,NH스마트뱅킹,금융,Messenger,커뮤니케이션,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,금융,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,멜론,음악/오디오
56,알바몬 맞춤알바,비즈니스,에이블리 - 셀럽마켓 모음앱,쇼핑,Cube Escape: The Cave KR,Adventure,밴드,소셜,멜론,음악/오디오,SNOW 스노우,사진,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,NAVER VIBE (바이브),음악/오디오,콴다 - 400만 다운로드 수학 공부앱,교육,알바몬 맞춤알바,비즈니스,코레일톡,여행 및 지역정보,브랜디 - 여성들의 쇼핑맛집,쇼핑
57,네이버 클라우드 - NAVER Cloud,생산성,알바몬 맞춤알바,비즈니스,네이버 파파고 - AI 통번역,도구,라이프애프터,어드벤처,다이소 멤버십,라이프스타일,신령의숲,롤플레잉,SKY - 빛의 아이들,롤플레잉,코레일톡,여행 및 지역정보,지니 뮤직 - genie,음악/오디오,T world,라이프스타일,국세청 홈택스,도구,[공식]시외버스 티머니,지도/내비게이션
58,뱅크샐러드,금융,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,Cube Escape: Birthday KR,Puzzle,콴다 - 400만 다운로드 수학 공부앱,교육,CGV,엔터테인먼트,멜론,음악/오디오,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,밴드,소셜,지도,여행 및 지역정보,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,판타지타운,캐주얼 게임
59,NH스마트뱅킹,금융,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,Cube Escape: Harvey s Box KR,Puzzle,Facebook,소셜,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,Facebook,소셜,Messenger,커뮤니케이션,카카오페이지 KakaoPage,도서/참고자료,카카오톡 KakaoTalk,커뮤니케이션,피망 섯다,카드,FLO – 플로,음악/오디오,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구
60,왓챠플레이,엔터테인먼트,프렌즈레이싱,자동차 경주,CGV,엔터테인먼트,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,밴드,소셜,FLO – 플로,음악/오디오,멜론,음악/오디오,네이버 파파고 - AI 통번역,도구,[공식]고속버스 티머니,지도/내비게이션,Google,도구,모바일 관세청,비즈니스,샤이닝라이트,롤플레잉
61,"\ufeff스카이스캐너 – 항공권,호텔,렌터카 최저가 비교 예약",여행 및 지역정보,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,에이블리 - 셀럽마켓 모음앱,쇼핑,[공식]고속버스 티머니,지도/내비게이션,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,Facebook,소셜,ISP/페이북,금융,코레일톡,여행 및 지역정보,Rummikub,보드,[공식]고속버스 티머니,지도/내비게이션,Shadow of Death: 다크니스 RPG - 지금 싸움을,액션
62,소울아크: 시즌2 리유니온,롤플레잉,왓챠플레이,엔터테인먼트,KB국민은행 스타뱅킹,금융,WeChat,커뮤니케이션,프렌즈타운,퍼즐,지도,여행 및 지역정보,SNOW 스노우,사진,FLO – 플로,음악/오디오,Facebook,소셜,지도,여행 및 지역정보,NAVER VIBE (바이브),음악/오디오,ISP/페이북,금융
63,Kingpin Bowling,Family,글로리,롤플레잉,Cube Escape: The Mill KR,Adventure,SNOW 스노우,사진,AMAZE!,퍼즐,ISP/페이북,금융,잼라이브 (JAM LIVE) - 라이브 예능&쇼핑,엔터테인먼트,해피포인트,라이프스타일,[공식]시외버스 티머니,지도/내비게이션,코레일톡,여행 및 지역정보,KB국민은행 스타뱅킹,금융,트리플 - 해외여행 가이드,여행 및 지역정보
64,삼국로맨스 전장의 소녀RPG,롤플레잉,아프리카TV - AfreecaTV,동영상 플레이어/편집기,Cube Escape: Case 23 KR,Puzzle,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,인천e음,금융,Messenger,커뮤니케이션,퍼스트 서머너,롤플레잉,모바일 관세청,비즈니스,"커넥츠: 무료 공부질문 앱-500만 다운로드 (문제해설, 노하우, 과외, 인강)",교육,알바천국- 알바 구인구직 포털서비스,비즈니스,네이버 클라우드 - NAVER Cloud,생산성,네이버 파파고 - AI 통번역,도구
65,프렌즈레이싱,자동차 경주,네이버 웹툰 - Naver Webtoon,만화,이사만루2019,스포츠,Messenger,커뮤니케이션,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,Zenly 젠리 - 친한 친구끼리,소셜,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,서울자전거 따릉이 (Seoul Public Bike),지도/내비게이션,Cool Goal!,아케이드,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성,밴드,소셜,SRT - 수서고속철도(NEW),여행 및 지역정보
66,PicsArt Photo Editor: 콜라주 메이커 & 사진 편집기,사진,다방 - 대한민국 부동산 매물 최다보유,부동산/홈 인테리어,Color Bump 3D,아케이드,롯데 ON - 롯데하이마트,쇼핑,네이버 클라우드 - NAVER Cloud,생산성,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구,Draw it,아케이드,카카오페이,금융,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기,BlockuDoku - 블록 퍼즐,기타,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기
67,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,"키즈노트::유치원,어린이집,학원 필수 앱!",커뮤니케이션,Puffin Web Browser,커뮤니케이션,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,지도,여행 및 지역정보,알바천국- 알바 구인구직 포털서비스,비즈니스,웰컴디지털뱅크,Finance,그립(GRIP) - 라이브 쇼핑,쇼핑,한게임 포커,카지노,TikTok 틱톡,동영상 플레이어/편집기,네이버 파파고 - AI 통번역,도구,밴드,소셜
68,롯데시네마,엔터테인먼트,"PASS by SK TELECOM(구, T인증)",금융,네이버 클라우드 - NAVER Cloud,생산성,배틀그라운드,액션,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,데일리호텔,여행 및 지역정보,Zenly 젠리 - 친한 친구끼리,소셜,Google,도구,Gmail,커뮤니케이션,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,Pocket World 3D,캐주얼 게임
69,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,히든프라이스 - 공동구매 / 특가 / 쇼핑,쇼핑,[공식]시외버스 티머니,지도/내비게이션,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,Nonogram.com - 노노그램 클래식 게임,Board,Wish - 쇼핑은 즐겁다,쇼핑,위버스 - Weverse,소셜,모두의마블,보드,Wish - 쇼핑은 즐겁다,쇼핑,에버랜드,엔터테인먼트,지도,여행 및 지역정보,Airbnb (에어비앤비) - 색다른 숙소 특별한 여행,여행 및 지역정보
70,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,CGV,엔터테인먼트,Draw it,아케이드,하이버 – 남자들의 쇼핑앱,쇼핑,아르카,롤플레잉,"트립닷컴 - 전 세계 항공권, 호텔, 기차표 & 액티비티 특가 예약, 블록버스터급 여행앱",여행 및 지역정보,마켓컬리-내일의 장보기,식음료,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,네이버 웹툰 - Naver Webtoon,만화,카카오페이,금융,[공식]시외버스 티머니,지도/내비게이션,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑
71,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,롯데월드 어드벤처,엔터테인먼트,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,멍멍 초성퀴즈 : 강아지 키우기,퀴즈,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,MOING,기타,에버랜드,엔터테인먼트,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,Google,도구,에브리타임 - 시간표 & 대학교 커뮤니티,소셜
72,트리플 - 해외여행 가이드,여행 및 지역정보,우리은행 위비뱅크,금융,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성,트리플 - 해외여행 가이드,여행 및 지역정보,쇼핑을 바꾸는 쇼핑. G마켓,쇼핑,Airbnb (에어비앤비) - 색다른 숙소 특별한 여행,여행 및 지역정보,술게임 - 술자리오락실,라이프스타일,알바몬 맞춤알바,비즈니스,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,마켓컬리-내일의 장보기,식음료,알바천국- 알바 구인구직 포털서비스,비즈니스
73,네이버 웹툰 - Naver Webtoon,만화,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,금융,지니 뮤직 - genie,음악/오디오,코레일톡,여행 및 지역정보,롯데시네마,엔터테인먼트,Gentle Sniper,아케이드,밴드,소셜,브랜디 - 여성들의 쇼핑맛집,쇼핑,네이버 클라우드 - NAVER Cloud,생산성,0한동,라이프스타일,쿠키런 for Kakao,어드벤처,TheDayBefore (디데이 위젯),라이프스타일
74,카카오버스,지도/내비게이션,마녀병기,롤플레잉,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,마켓컬리-내일의 장보기,식음료,"PAYCO - 페이코, 혜택까지 똑똑한 간편결제",라이프스타일,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,쏘카 - 1등 카셰어링,지도/내비게이션,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,마켓컬리-내일의 장보기,식음료,KB국민카드,금융,Gmail,커뮤니케이션,조선 영웅전--수집형 RPG 모바일 게임,롤플레잉
75,에이블리 - 셀럽마켓 모음앱,쇼핑,롯데 ON - 롯데하이마트,쇼핑,캐시워크 - 적립형 만보기 첫화면,건강/운동,TheDayBefore (디데이 위젯),라이프스타일,"트립닷컴 - 전 세계 항공권, 호텔, 기차표 & 액티비티 특가 예약, 블록버스터급 여행앱",여행 및 지역정보,알바몬 맞춤알바,비즈니스,알바몬 맞춤알바,비즈니스,네이버 웹툰 - Naver Webtoon,만화,카카오페이,금융,Wish - 쇼핑은 즐겁다,쇼핑,CJ ONE,라이프스타일,무한의 계단,아케이드
76,Tap Tap Music-Pop Songs,음악,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,네이버 웹툰 - Naver Webtoon,만화,AMAZE!,퍼즐,메가박스(MEGABOX),엔터테인먼트,코레일톡,여행 및 지역정보,V LIVE,엔터테인먼트,Adobe Photoshop Fix,사진,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,연예인 닮은꼴,Entertainment,Rescue Cut - Rope Puzzle,기타,네이버 클라우드 - NAVER Cloud,생산성
77,아프리카TV - AfreecaTV,동영상 플레이어/편집기,FLO – 플로,음악/오디오,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,V LIVE,엔터테인먼트,FaceApp,사진,호갱노노,부동산/홈 인테리어,Zenly 젠리 - 친한 친구끼리,소셜,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,손오공디펜스,전략,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,Words Fun : Word Connect game,Puzzle,Gmail,커뮤니케이션
78,FLO – 플로,음악/오디오,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,손오공디펜스,전략,알바몬 맞춤알바,비즈니스,브롤스타즈,액션,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,알바천국- 알바 구인구직 포털서비스,비즈니스,"아이돌챔프 - 쇼챔피언, 아이돌투표, 팬덤, 아이돌",엔터테인먼트,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,롯데월드 어드벤처,엔터테인먼트,카카오페이,금융,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑
79,T멤버십,라이프스타일,캐시워크 - 적립형 만보기 첫화면,건강/운동,코레일톡,여행 및 지역정보,네이버 클라우드 - NAVER Cloud,생산성,THE CAMP 대국민 국군 소통 서비스,커뮤니케이션,"Grab - Transport, Food Delivery, Payments",지도/내비게이션,Wish - 쇼핑은 즐겁다,쇼핑,지도,여행 및 지역정보,뱅크샐러드,금융,마켓컬리-내일의 장보기,식음료,공장 합병,퍼즐,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어
80,THE CAMP 대국민 국군 소통 서비스,커뮤니케이션,뱅크샐러드,금융,[공식]고속버스 티머니,지도/내비게이션,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,모바일 관세청,비즈니스,롯데시네마,엔터테인먼트,NH스마트뱅킹,금융,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,브롤스타즈,액션,SSGPAY - 혜택 위의 혜택,금융,Merge Airships,기타,불편함-불편경험 판매플랫폼,Social Networking
81,카카오톡 치즈 - 친구와 함께 노는 카톡 카메라,사진,연습 맞고,보드,김씨협객전,롤플레잉,지도,여행 및 지역정보,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,네이버 클라우드 - NAVER Cloud,생산성,네이버 웹툰 - Naver Webtoon,만화,KB국민 앱카드,금융,YouTube Music,음악/오디오,Google 드라이브,생산성,CGV포토티켓,엔터테인먼트,마켓컬리-내일의 장보기,식음료
82,SERIES - 네이버 시리즈,도서/참고자료,"미세미세 - 미세먼지, WHO기준, 알람, 위젯, 날씨, 지도",날씨,Zodiac Master Plus - Palm Scan,Lifestyle,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,[공식]고속버스 티머니,지도/내비게이션,홈플러스 더 클럽,쇼핑,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,"SBS - 온에어, VOD 7만편 무료",동영상 플레이어/편집기,[공식]시외버스 티머니,지도/내비게이션,T world,라이프스타일,Nonogram.com - 노노그램 클래식 게임,Board
83,"PASS by U+(구, U+인증)",금융,카카오버스,지도/내비게이션,지도,여행 및 지역정보,브랜디 - 여성들의 쇼핑맛집,쇼핑,코레일톡,여행 및 지역정보,지니 뮤직 - genie,음악/오디오,네이버 클라우드 - NAVER Cloud,생산성,Gmail,커뮤니케이션,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,마이 케이티,라이프스타일,TheDayBefore (디데이 위젯),라이프스타일,FLO – 플로,음악/오디오
84,지니 뮤직 - genie,음악/오디오,탈출 게임 The Little Prince,어드벤처,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,[공식]시외버스 티머니,지도/내비게이션,[공식]고속버스 티머니,지도/내비게이션,HS VPN – 사생활 웹 브라우징,기타,"호텔스닷컴: 최저가 객실, 호텔, 펜션 리조트를 최고 평점 숙박 어플로 예약하세요",여행 및 지역정보,네이버 클라우드 - NAVER Cloud,생산성,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,판타지타운,캐주얼 게임,Google,도구
85,"네이버 지도, 내비게이션",여행 및 지역정보,"PASS by U+(구, U+인증)",금융,롯데백화점,쇼핑,점과박자 (Dot n Beat)-손의 속도 테스트,음악,킹 오브 파이터 올스타,액션,"챌린저스 - 확실한 목표달성, 꾸준한 습관형성",생산성,FLO – 플로,음악/오디오,지니 뮤직 - genie,음악/오디오,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구,U+ 고객센터,라이프스타일,메가박스(MEGABOX),엔터테인먼트,마피아42,전략
86,알바천국- 알바 구인구직 포털서비스,비즈니스,지니 뮤직 - genie,음악/오디오,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,캐치 히어로즈 - Catch Heroes,엔터테인먼트,CJ ONE,라이프스타일,인천e음,금융,메가박스(MEGABOX),엔터테인먼트,쿠팡이츠 - 맛있는 음식을 빠르고 편하게,식음료,Fill In 3D,기타,APT2you,부동산/홈 인테리어,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기,다이소 멤버십,라이프스타일
87,Airbnb (에어비앤비) - 색다른 숙소 특별한 여행,여행 및 지역정보,잼라이브 (JAM LIVE) - 라이브 예능&쇼핑,엔터테인먼트,Foodie 푸디 - 일상을 맛있게,사진,알바천국- 알바 구인구직 포털서비스,비즈니스,TheDayBefore (디데이 위젯),라이프스타일,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,딜카 - 찾아가는 카셰어링,비즈니스,알바천국- 알바 구인구직 포털서비스,비즈니스,밴드,소셜,차이 - 결제마다 할인받는 간편결제,금융,롯데홈쇼핑 – 롯데 ON,쇼핑,아가씨와 메이드 - 여성향 비주얼노벨,시뮬레이션
88,메가박스(MEGABOX),엔터테인먼트,"Free VPN by VPN Master- Proxy VPN client for WiFi hotspot security, unblock sites, and privacy prote",Productivity,피버 바스켓,스포츠,MARVEL 퓨처파이트,롤플레잉,V LIVE,엔터테인먼트,[공식]시외버스 티머니,지도/내비게이션,배틀그라운드,액션,잼라이브 (JAM LIVE) - 라이브 예능&쇼핑,엔터테인먼트,"피터팬의좋은방구하기-원룸,투룸,원룸텔,쉐어하우스 수수료 없는 부동산 No.1",부동산/홈 인테리어,네이버 주소록 & 다이얼 - Naver Contacts,도구,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,지니 뮤직 - genie,음악/오디오
89,Zenly 젠리 - 친한 친구끼리,소셜,MONEY TREE(머니트리)- With 제로페이,금융,마켓컬리-내일의 장보기,식음료,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,T world,라이프스타일,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기,브롤스타즈,액션,스타일쉐어 - 신상 옷과 화장품 후기가 한 자리에,쇼핑,한게임 섯다,카드,I Peel Good,시뮬레이션,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,금융,카카오페이,금융
90,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,탈출 게임 For you,Adventure,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성,지니 뮤직 - genie,음악/오디오,스타벅스,엔터테인먼트,Google,도구,THE CAMP 대국민 국군 소통 서비스,커뮤니케이션,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기,롯데홈쇼핑 – 롯데 ON,쇼핑,Google 포토,사진,롯데시네마,엔터테인먼트,CJ ONE,라이프스타일
91,KB국민은행 스타뱅킹,금융,"L.POINT - 엘포인트 [ 포인트, 멤버십, 적립, 사용, 모바일 카드, 쿠폰, 롯데]",라이프스타일,"B612 - 뷰티 효과, 감성필터, 셀피 카메라",사진,CGV포토티켓,엔터테인먼트,VPN X,Utilities,밴드,소셜,"트립닷컴 - 전 세계 항공권, 호텔, 기차표 & 액티비티 특가 예약, 블록버스터급 여행앱",여행 및 지역정보,카카오헤어샵 KakaoHairshop,뷰티,Save Puppy: Pixel Game,기타,헬로우봇 - AI 사주・타로・상담,소셜,무한의 계단,아케이드,T world,라이프스타일
92,화해 - 6년 연속 1위 화장품 앱,뷰티,PicsArt Photo Editor: 콜라주 메이커 & 사진 편집기,사진,PicsArt Photo Editor: 콜라주 메이커 & 사진 편집기,사진,열혈 삼국지-창의적인  방치형 캐주얼 모바일 게임,Card,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,Puffin Web Browser,커뮤니케이션,"Grab - Transport, Food Delivery, Payments",지도/내비게이션,"AliExpress - 스마트한쇼핑, 더즐거운생활",쇼핑,SERIES - 네이버 시리즈,도서/참고자료,KB국민 앱카드,금융,운전면허 PLUS - 운전면허필기시험 (최신판 100%무료),교육,KB국민은행 스타뱅킹,금융
93,잼라이브 (JAM LIVE) - 라이브 예능&쇼핑,엔터테인먼트,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,황제라 칭하라,롤플레잉,Airbnb (에어비앤비) - 색다른 숙소 특별한 여행,여행 및 지역정보,Smule - 최고의 노래 어플,음악/오디오,서울자전거 따릉이 (Seoul Public Bike),지도/내비게이션,Face Seer -시간 여행기,기타,TheDayBefore (디데이 위젯),라이프스타일,SoundCloud - 음악과 오디오,음악/오디오,[공식]고속버스 티머니,지도/내비게이션,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성,Two Dots,퍼즐
94,"트립닷컴 - 전 세계 항공권, 호텔, 기차표 & 액티비티 특가 예약, 블록버스터급 여행앱",여행 및 지역정보,THE CAMP 대국민 국군 소통 서비스,커뮤니케이션,T world,라이프스타일,다이소 멤버십,라이프스타일,알바몬 맞춤알바,비즈니스,콴다 - 400만 다운로드 수학 공부앱,교육,브랜디 - 여성들의 쇼핑맛집,쇼핑,알바몬 맞춤알바,비즈니스,아프리카TV - AfreecaTV,동영상 플레이어/편집기,"PAYCO - 페이코, 혜택까지 똑똑한 간편결제",라이프스타일,i-ONE Bank - IBK기업은행,금융,CGV,엔터테인먼트
95,T world,라이프스타일,화해 - 6년 연속 1위 화장품 앱,뷰티,티켓링크,엔터테인먼트,네이버 웹툰 - Naver Webtoon,만화,[공식]시외버스 티머니,지도/내비게이션,"PAYCO - 페이코, 혜택까지 똑똑한 간편결제",라이프스타일,모바일 관세청,비즈니스,브롤스타즈,액션,트리플 - 해외여행 가이드,여행 및 지역정보,Zenly 젠리 - 친한 친구끼리,소셜,Airbnb (에어비앤비) - 색다른 숙소 특별한 여행,여행 및 지역정보,NAVER VIBE (바이브),음악/오디오
96,캐시워크 - 적립형 만보기 첫화면,건강/운동,KB국민은행 스타뱅킹,금융,TheDayBefore (디데이 위젯),라이프스타일,Crowd City,아케이드,네이버 웹툰 - Naver Webtoon,만화,타다,지도/내비게이션,젝시믹스 XEXYMIX,쇼핑,서울스토어,쇼핑,스타일쉐어 - 신상 옷과 화장품 후기가 한 자리에,쇼핑,T멤버십,라이프스타일,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,모바일 관세청,비즈니스
97,ANOTHER EDEN 시공을 넘는 고양이,롤플레잉,술게임 - 술자리오락실,라이프스타일,FLO – 플로,음악/오디오,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,알바천국- 알바 구인구직 포털서비스,비즈니스,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,아프리카TV - AfreecaTV,동영상 플레이어/편집기,"Grab - Transport, Food Delivery, Payments",지도/내비게이션,알바천국- 알바 구인구직 포털서비스,비즈니스,T map for SK,Navigation,솔리테어 팜 빌리지 - 솔리테어 콜렉션,카드,카카오페이지 KakaoPage,도서/참고자료
